component,pin_name,x,y,layer,signal
L-D19,1,6.4588106,-6.89457,TOP,L-ROW3
L-D19,2,6.3288893999999996,-6.89457,TOP,Net-(L-D19-A)
L-D4,1,5.80723,-5.1918106,TOP,L-ROW0
L-D4,2,5.80723,-5.0618894,TOP,Net-(L-D4-A)
L-D1,1,3.3689020767096927,-5.306360827218065,TOP,L-ROW0
L-D1,2,3.3485779232903075,-5.1780391727819355,TOP,Net-(L-D1-A)
L-D9,1,5.01983,-5.3985106,TOP,L-ROW1
L-D9,2,5.01983,-5.2685894,TOP,Net-(L-D9-A)
L-D3,1,5.00605,-4.6563806,TOP,L-ROW0
L-D3,2,5.00605,-4.5264594,TOP,Net-(L-D3-A)
L-D12,1,2.761637923290307,-6.409149172781935,TOP,L-ROW2
L-D12,2,2.7819620767096924,-6.537470827218065,TOP,Net-(L-D12-A)
L-D20,1,6.558039172781935,-7.000547923290308,TOP,L-ROW3
L-D20,2,6.686360827218065,-7.020872076709693,TOP,Net-(L-D20-A)
L-D17,1,6.3308594,-6.68197,TOP,L-ROW2
L-D17,2,6.4607806,-6.68197,TOP,Net-(L-D17-A)
L-D14,1,4.278590231690945,-6.17374473903626,TOP,L-ROW2
L-D14,2,4.265009768309055,-6.04453526096374,TOP,Net-(L-D14-A)
L-D15,1,5.01983,-6.1307906,TOP,L-ROW2
L-D15,2,5.01983,-6.0008694,TOP,Net-(L-D15-A)
L-D2,1,4.162450231690945,-4.7268947390362595,TOP,L-ROW0
L-D2,2,4.148869768309055,-4.59768526096374,TOP,Net-(L-D2-A)
L-D16,1,5.5611694,-6.68591,TOP,L-ROW2
L-D16,2,5.6910906,-6.68591,TOP,Net-(L-D16-A)
L-D13,1,3.5195179232903073,-6.310729172781935,TOP,L-ROW2
L-D13,2,3.5398420767096925,-6.439050827218065,TOP,Net-(L-D13-A)
L-D18,1,5.5631394,-6.89063,TOP,L-ROW3
L-D18,2,5.6930606,-6.89063,TOP,Net-(L-D18-A)
L-D0,1,2.6087320767096926,-5.458730827218065,TOP,L-ROW0
L-D0,2,2.5884079232903074,-5.330409172781935,TOP,Net-(L-D0-A)
L-D10,1,5.79739,-5.9496906,TOP,L-ROW1
L-D10,2,5.79739,-5.8197694,TOP,Net-(L-D10-A)
L-D5,1,6.3308594,-5.15835,TOP,L-ROW0
L-D5,2,6.4607806,-5.15835,TOP,Net-(L-D5-A)
